Pilote,GP,Saison,Réalité,Prédiction
Nico HULKENBERG,São Paulo,2023,16.37201206776514,16.69819573938821
Will STEVENS,Chine,2015,18.728857090442123,18.816835070887414
Sebastian VETTEL,Styrie,2020,18.909448818897637,18.786213247109977
Kimi RAIKKONEN,Mexique,2015,19.16682156133829,18.661125749898314
Lando NORRIS,Hongrie,2021,17.459255877653504,17.604708347973215
Carlos SAINZ,Hongrie,2016,18.5188313170509,19.47365281040171
Charles LECLERC,Etats-Unis,2018,17.126791220750953,17.30389081950984
Alexander ALBON,Grande-Bretagne,2023,14.85825836021049,15.09539633561232
Lance STROLL,Canada,2024,16.670717725292363,16.8733172918201
Fernando ALONSO,Hongrie,2021,17.510842273453548,17.646201957131385
Nico ROSBERG,Allemagne,2016,16.257761259291648,16.26640758019023
Max VERSTAPPEN,Canada,2022,18.642283879844076,20.04719298867841
Charles LECLERC,Mexico City,2023,17.928903345724905,17.927130487973162
Charles LECLERC,Japon,2024,15.252705720666553,15.192980911663163
Romain GROSJEAN,Malaisie,2015,20.38246436947501,20.74213635663505
Max VERSTAPPEN,France,2019,15.25490530626173,15.296225442182969
Kevin MAGNUSSEN,Australie,2015,17.437855248200076,16.820448466055534
Alexander ALBON,Belgique,2024,16.343946316390635,16.45733341069632
Charles LECLERC,Bahreïn,2024,16.520140428677013,16.513647095445734
Lance STROLL,Brésil,2019,16.137386864701785,16.07633281476816
Carlos SAINZ,São Paulo,2021,15.972615456022277,16.10600667839273
Charles LECLERC,Portugal,2020,16.567805716741887,16.668477854315793
Fernando ALONSO,Belgique,2015,15.908052541404913,15.730345185247863
Felipe MASSA,Brésil,2015,16.80552332327686,16.848057471935014
Kevin MAGNUSSEN,Bahreïn,2024,16.727457501847745,16.70584494382738
Daniel RICCIARDO,Chine,2024,17.415886993212254,17.411627019825286
Kevin MAGNUSSEN,Espagne,2019,16.517500536826283,16.690928390921343
Lando NORRIS,Miami,2022,16.589648798521257,16.603594115734573
Pastor MALDONADO,Autriche,2015,16.29782306623437,16.246386206298006
Lewis HAMILTON,Hongrie,2022,17.83656699383702,17.806455573564403
George RUSSELL,Hongrie,2022,17.661949326637753,17.78739668748997
Lance STROLL,Arabie saoudite,2024,14.345966958211855,14.33486817309769
Lance STROLL,Autriche,2024,15.24293654469662,15.132965272457538
Guanyu ZHOU,Singapour,2024,18.634412955465585,18.52382093681268
Pascal WEHRLEIN,Malaisie,2017,16.865055024355044,16.89528793304021
Daniel RICCIARDO,Belgique,2020,14.571816105082812,15.112410898650007
Marcus ERICSSON,Canada,2017,17.082091263471682,17.012129349289907
Kevin MAGNUSSEN,Belgique,2020,14.893489434608794,15.042190371939885
Esteban OCON,Belgique,2021,17.63463735008567,17.284856622583796
Sergio PEREZ,São Paulo,2024,20.459039220236715,20.24826303015269
Antonio GIOVINAZZI,Styrie,2021,15.033117183881426,15.06666324416218
Felipe MASSA,Hongrie,2015,19.068020999771743,19.010717939772885
Max VERSTAPPEN,Grande-Bretagne,2018,14.7007299270073,14.6684994531708
Nico HULKENBERG,Bahreïn,2022,17.142830746489285,16.935791488544155
Kimi RAIKKONEN,Bahreïn,2019,16.4490022172949,16.618503151261617
Kevin MAGNUSSEN,70e Anniversaire,2020,14.978102189781023,14.830971782348076
Nico HULKENBERG,Europe,2016,17.461935698817257,17.45801697788518
Carlos SAINZ,Portugal,2020,16.6602192134107,16.692115954893644
Lance STROLL,Arabie saoudite,2021,14.474894719792678,14.50662151909593
Antonio GIOVINAZZI,Autriche,2019,14.863131079203336,15.00884969467648
Alexander ALBON,Espagne,2024,15.708181232553146,15.721689338887536
Max VERSTAPPEN,Russie,2019,15.784883720930234,15.935208550514723
Esteban OCON,Brésil,2018,15.959619401253189,16.001997482890783
Nico HULKENBERG,Singapour,2024,18.241902834008094,18.348637324877572
Esteban OCON,70e Anniversaire,2020,14.770157867934136,14.753275670942388
Carlos SAINZ,Espagne,2018,16.703886622289026,16.806385668878956
Sebastian VETTEL,Styrie,2021,15.02431681333951,14.976239956984694
George RUSSELL,Émilie-Romagne,2020,15.343858219596662,15.41473146400261
Charles LECLERC,Belgique,2022,14.927612792689892,14.809549418276898
Will STEVENS,Abou Dhabi,2015,20.12819541753456,19.79302523322998
Lance STROLL,Etats-Unis,2019,17.06874659894794,17.120319814627788
Kimi RAIKKONEN,Belgique,2015,15.647629925756712,15.500590641618569
Lance STROLL,Italie,2022,14.284136026238563,14.314404324730186
Oscar PIASTRI,Hongrie,2024,17.176215475918738,17.360367099087632
Mick SCHUMACHER,Hongrie,2022,18.078520885642547,17.998277950248113
Romain GROSJEAN,Abou Dhabi,2016,19.231963643249383,19.404722680823856
Carlos SAINZ,Italie,2023,13.860521318833074,13.894049128335345
Daniel RICCIARDO,Mexique,2016,18.38592007434944,18.40922200557326
Guanyu ZHOU,Mexico City,2024,18.139405204460967,18.007520139758174
Jenson BUTTON,Australie,2015,17.321333838575217,16.895400905937112
Pierre GASLY,Australie,2023,14.716748768472904,14.79837263870259
Nico HULKENBERG,Australie,2018,15.826449412656308,15.812117304509693
Lando NORRIS,Émilie-Romagne,2022,18.1566510490935,17.37623923858745
Charles LECLERC,São Paulo,2022,17.54722673474124,16.528059014444715
Kimi RAIKKONEN,Monaco,2015,22.902906802517226,22.80092548633206
Oscar PIASTRI,Autriche,2024,15.064381658175083,15.518251358036588
Lando NORRIS,São Paulo,2022,16.77024831747505,16.84206409362911
Nico HULKENBERG,Mexique,2016,18.431691449814124,18.64448497031217
Stoffel VANDOORNE,France,2018,15.895239720184271,15.821672938434398
Fernando ALONSO,Grande-Bretagne,2015,16.11933457817009,16.266931385036322
Marcus ERICSSON,Russie,2016,17.017612859097127,16.871232381819325
Romain GROSJEAN,Australie,2016,16.73399014778325,16.44186087381694
Felipe NASR,Canada,2016,17.579224948406328,17.319218041980104
Nico HULKENBERG,Chine,2015,18.20143093010457,17.730172014243866
Sebastian VETTEL,Brésil,2017,15.864469714550939,15.960720572118893
Sebastian VETTEL,Australie,2019,15.382720727548312,15.450611289615066
Marcus ERICSSON,Autriche,2018,15.164196387216306,15.140758998056919
Lando NORRIS,Pays-Bas,2022,16.71143460906316,16.811210077853396
Kevin MAGNUSSEN,Canada,2023,18.729190552625546,19.708738878843935
Charles LECLERC,Belgique,2023,15.275271273557967,15.432672840801724
Felipe NASR,Canada,2015,17.56936482458152,17.530784329423764
Fernando ALONSO,Malaisie,2016,17.5275121775212,17.060424930746105
Lewis HAMILTON,Canada,2015,17.05870213253841,17.150253699384763
Brendon HARTLEY,Autriche,2018,15.138026864289024,15.100984142129215
Robert KUBICA,Pays-Bas,2021,16.741253815449635,16.798088716815595
